qid,label,desc,sitelinks,date,image,country
Q208971,1Q84,novel by Haruki Murakami,36,2009-05-29T00:00:00Z,,Japan
Q568065,Another One Bites the Dust,1980 single by Queen,36,1980-08-22T00:00:00Z,,
Q3739483,Only Teardrops,song and single by Emmelie de Forest,36,2013-01-22T00:00:00Z,,
Q14344806,Applause,2013 single by Lady Gaga,35,2013-08-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20Gaga%20-%20Applause%20logo.png,United States of America
Q752584,Mrs Dalloway,novel by Virginia Woolf,35,1925-05-14T00:00:00Z,,United Kingdom
Q147734,Halo,Beyonce song,34,2009-01-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Beyonce%20Halo%202013.jpg,United States of America
Q81413,Unua Libro,"pamphlet by L. L. Zamenhof, first published in 1887 in Russian and subsequently in other languages, introducing the language Esperanto for the first time",34,1887-07-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Unua%20Libro%20ru%201st%20ed.pdf,
Q155029,Can't Get You Out of My Head,2001 single by Kylie Minogue,34,2001-09-08T00:00:00Z,,
Q300973,You Are Not Alone,single,34,1995-08-15T00:00:00Z,,United States of America
Q579744,Kafka on the Shore,2002 novel by Haruki Murakami,34,2002-09-12T00:00:00Z,,Japan
Q380825,Thriller,1984 single by Michael Jackson,34,1982-11-30T00:00:00Z,,United States of America
Q40354,Mockingjay,2010 book by Suzanne Collins,34,2010-08-24T00:00:00Z,,United States of America
Q326287,Smooth Criminal,1988 single by Michael Jackson,34,1988-10-08T00:00:00Z,,United States of America
Q155016,...Baby One More Time,1998 song by Britney Spears,33,1998-09-30T00:00:00Z,,United States of America
Q155512,I Kissed a Girl,single by Katy Perry,33,2008-05-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Katy%20Perry%20-%20I%20Kissed%20a%20Girl%20logo.png,United States of America
Q28874403,Amar pelos dois,song by Salvador Sobral,33,2017-03-10T00:00:00Z,,
Q870786,Dancing Queen,1976 ABBA song,33,1976-08-05T00:00:00Z,,
Q839848,You're My Best Friend,"1976 song and single by Queen, the British rock band",33,1976-05-18T00:00:00Z,,
Q214113,Black or White,1991 single by Michael Jackson,33,1991-10-11T00:00:00Z,,United States of America
Q215787,Fairytale,2009 Alexander Rybak song,33,2009-01-12T00:00:00Z,,
Q50134759,Toy,"song by Netta Barzilai, winner of the 2018 Eurovision Song Contest",33,2018-03-11T00:00:00Z,,Israel
Q58894738,The Two Popes,2019 film directed by Fernando Meirelles,33,2019-11-27T00:00:00Z,,United States of America|Italy|United Kingdom|Argentina
Q322156,The Boy in the Striped Pyjamas,2006 novel,33,2006-01-05T00:00:00Z,,Ireland
Q862050,Les Liaisons dangereuses,1782 epistolary novel by Pierre Choderlos de Laclos,32,1782-03-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/LiaisonsDangereuses%20X.jpg,France
Q842292,Whisper of the Heart,1995 Japanese animated film directed by Yoshifumi Kondō and manga series,32,1995-07-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Mimi%20wo%20sumaseba%20logo.jpg,Japan
Q17111624,The Martian,2011 science fiction novel by Andy Weir,32,2014-02-11T00:00:00Z,,United States of America
Q714119,The Sacred War,1941 patriotic soldier's song composed by Alexander Vasilyevich Alexandrov with lyrics by Vasily Lebedev-Kumach performed by Alexandrov Ensemble,32,1941-06-24T00:00:00Z,,
Q11861,The Princess and the Pea,fairy tale by H.C. Andersen,31,1835-05-08T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Page%20190%20illustration%20b%20in%20fairy%20tales%20of%20Andersen%20%28Stratton%29.png,Denmark
Q155586,California Gurls,2010 single by Katy Perry,31,2010-05-11T00:00:00Z,,United States of America
Q753290,'Salem's Lot,1975 horror fiction novel,31,1975-10-17T00:00:00Z,,United States of America
Q829130,Memoirs of a Geisha,1997 novel by Arthur Golden,31,1997-09-27T00:00:00Z,,United States of America
Q836667,Under Pressure,1981 song by Queen and David Bowie,31,1981-10-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20%26%20David%20Bowie%20-%20Under%20Pressure.jpeg,United States of America
Q169298,Zombie,1994 song by The Cranberries,31,1994-09-19T00:00:00Z,,
Q844214,Hot n Cold,2008 song by Katy Perry,31,2008-09-30T00:00:00Z,,United States of America
Q714760,Slam Dunk,Japanese manga series,31,1990-10-01T00:00:00Z,,Japan
Q229553,3,2009 single by Britney Spears,31,2009-09-29T00:00:00Z,,United States of America
Q880092,Black Beauty,1877 novel by Anna Sewell,31,1877-11-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/BlackBeautyCoverFirstEd1877.jpeg,United Kingdom
Q816528,Ben-Hur: A Tale of the Christ,1880 novel by Lewis Wallace,30,1880-11-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Wallace%20Ben-Hur%20cover.jpg,United States of America
Q611381,Innuendo,song by Queen (1991),30,1991-01-14T00:00:00Z,,
Q616439,Wicked,2003 musical,30,2003-06-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20Victoria%20Theatre.jpg,
Q544294,I Want It All,song by Queen (1989),30,1989-05-02T00:00:00Z,,
Q564072,Annabel Lee,poem by Edgar Allan Poe,30,1849-10-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Annabel%20Lee%20fair%20copy%20Poe%201849.jpg,United States of America
Q494357,Future Diary,Japanese manga series,30,2006-01-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Mirai%20Nikki%20logo.png,Japan
Q1647391,Baby,2010 song by Justin Bieber featuring Ludacris,30,2010-01-18T00:00:00Z,,United States of America
Q162663,Mit brennender Sorge,1937 papal encyclical condemning fascism and antisemitism in Germany,30,1937-03-21T00:00:00Z,,
Q379751,Toxic,2004 single by Britney Spears,30,2004-01-13T00:00:00Z,,United States of America
Q717044,Piece of Me,2007 single by Britney Spears,30,2007-11-27T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Britney%20Spears%20-%20Piece%20of%20Me%20Logo.png,United States of America
Q733639,Cards on the Table,book,30,1936-11-02T00:00:00Z,,United Kingdom
Q628674,Slow,2003 single by Kylie Minogue,29,2003-11-03T00:00:00Z,,
Q483150,Toradora!,Japanese light novel series,29,2006-03-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Toradora%20Logo%20by%20Yonh21.png,Japan
Q1764379,Love Story,song by Taylor Swift,29,2008-09-12T00:00:00Z,,United States of America
Q681319,Circus,song by Britney Spears,29,2008-12-02T00:00:00Z,,United States of America
Q1407276,Hung Up,2005 song by Madonna,29,2005-10-18T00:00:00Z,,United States of America
Q13882199,The Cuckoo's Calling,novel by J. K. Rowling,29,2013-04-18T00:00:00Z,,United Kingdom
Q161407,Dragostea din tei,Song from O-Zone,29,2004-11-02T00:00:00Z,,
Q163412,Firework,2010 song by Katy Perry,29,2010-10-26T00:00:00Z,,United States of America
Q166199,The Crab with the Golden Claws,Ninth volume of The Adventures of Tintin,29,1940-10-17T00:00:00Z,,
Q168694,Ems Dispatch,Prussian telegram and press release that incited the French Empire to start the Franco-Prussian War,29,1870-07-13T00:00:00Z,,
Q750388,Lumen Gentium,"official document of the Catholic church, Dogmatic Constitution on the Church",29,1964-11-21T00:00:00Z,,
Q380181,Gimme More,single by Britney Spears,29,2007-09-25T00:00:00Z,,United States of America
Q178905,Crazy Little Thing Called Love,1979 single by Queen,29,1979-10-05T00:00:00Z,,
Q18559542,Uptown Funk,2014 song by Mark Ronson,29,2014-11-10T00:00:00Z,,United States of America
Q738474,Girlfriend,single by Avril Lavigne,29,2007-02-07T00:00:00Z,,
Q6029482,Infernal Devices,2005 novel by Philip Reeve,29,2005-03-18T00:00:00Z,,United Kingdom
Q907934,Nuremberg Chronicle,1493 book of woodcuts by Hartmann Schedel,29,1493-07-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Biblioth%C3%A8que%20du%20Grand%20S%C3%A9minaire%20de%20Strasbourg%2012.jpg,
Q32136,The Colour of Magic,Discworld novel by Terry Pratchett,29,1983-11-24T00:00:00Z,,United Kingdom
Q119534,Shakugan no Shana,Japanese light novel series,28,2002-11-09T00:00:00Z,,Japan
Q1052459,Good Omens,novel by Terry Pratchett and Neil Gaiman,28,1990-05-01T00:00:00Z,,United Kingdom
Q537389,Soul Eater,Japanese manga series,28,2004-05-12T00:00:00Z,,Japan
Q543058,Sk8er Boi,single,28,2002-08-10T00:00:00Z,,
Q543362,Complicated,song by Avril Lavigne,28,2002-05-14T00:00:00Z,,
Q937087,The Doors,1991 biopic film about The Doors directed by Oliver Stone,28,1991-05-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Graffiti%20Rosario%20-%20Jim%20Morrison.jpg,United States of America
Q20718351,Re:Zero − Starting Life in Another World,Japanese light novel series,28,2014-01-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Re%20Zero%20kara%20Hajimeru%20Isekai%20Seikatsu%20logo.svg,Japan
Q1305319,An Enemy of the People,play,28,1882-11-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/En%20folkefiende%20forside.jpeg,
Q1330171,Every Breath You Take,1983 single by The Police,28,1983-05-20T00:00:00Z,,
Q26821253,Perfect Illusion,2016 song by Lady Gaga,28,2016-09-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Perfect%20Illusion%20Logo.png,
Q164100,TiK ToK,2009 single by Ke$ha,28,2009-08-07T00:00:00Z,,United States of America
Q746875,Last Friday Night (T.G.I.F.),2011 single by Katy Perry,28,2011-06-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Katy%20Perry%20-%20Last%20Friday%20Night%20%28TGIF%29%20Logo.png,United States of America
Q750794,Pon de Replay,2005 single by Rihanna,28,2005-08-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Rihannagidt.jpg,
Q838973,Money,1972 song written by Roger Waters; performed and recorded by the English progressive rock band Pink Floyd,28,1973-06-23T00:00:00Z,,
Q248185,Can't Help Falling in Love,Song by American singer Elvis Presley,28,1961-10-01T00:00:00Z,,United States of America
Q582763,Hikaru no Go,Japanese manga series,28,1999-01-08T00:00:00Z,,Japan
